timestamp,user_id,revenue
1704107278,7839337,197.42
1704687293,2562894,134.72
1704314627,2015820,116.0
1704441843,7815017,208.9
1704637987,8062316,189.75
1704121286,3541439,139.05
1704623643,5901710,203.53
1704279304,5654820,102.94
1704317812,8778405,148.76
1704539004,5529669,155.92
1704357724,9772145,197.44
1704573571,7746960,137.7
1704217800,5053825,163.19
1704317744,7591755,159.13
1704149059,9002979,167.67
1704621238,7217933,131.45
1704508228,4007073,133.64
1704112362,3094006,144.98
1704443383,5447417,260.52
1704581783,8298941,148.64
1704639737,5386327,148.61
1704365795,8604238,160.56
1704567655,2990241,146.2
1704584892,1917577,119.25
1704624632,4360212,153.5
1704108051,9237811,133.51
1704402809,6513558,129.44
1704798228,5642109,152.06
1704652427,2400745,154.68
1704379142,8199539,85.49
1704232444,5122187,159.98
1704599772,7963587,135.5
1704594864,2491973,165.18
1704179950,1770211,108.69
1704632299,8801357,176.72
1704399023,4881066,153.31
1704327134,5291090,101.29
1704465084,1878144,122.41
1704695194,7281723,124.99
1704642534,8479251,140.45
1704231160,9784489,121.87
1704622807,8206599,119.49
1704500672,5427599,167.47
1704398200,7582401,84.56
1704543835,3658586,172.99
1705193006,4362328,180.85
1704190155,4954134,110.68
1704532986,9762404,180.66
1704393353,5025493,124.6
1704166334,7029627,107.68
1704353627,5588074,138.82
1704297620,9935480,108.07
1704392089,7525148,180.9
1704440946,8941463,153.17
1704630942,9449529,153.17
1704610126,3677883,119.52
1704373406,6487944,122.13
1704472243,5111692,97.56
1704105790,8824476,169.2
1704471696,2642186,155.1
1704651153,4709546,90.51
1705197867,7423188,206.16
1704289763,3315808,178.19
1704202089,5712234,122.54
1704226794,3656898,143.14
1704626154,8704219,194.3
1704454131,5769958,194.35
1704576837,1907195,168.55
1704104349,5658812,193.72
1704317817,4522827,215.65
1704508239,9707369,127.48
1704840923,3115302,164.12
1704599811,5419721,133.92
1704104824,8828943,126.33
1704259845,5431098,197.38
1704264580,6875351,193.35
1704411097,8983278,203.28
1704344975,7682107,163.72
1704212538,6779740,201.51
1704120341,1031905,152.05
1704132088,3516614,100.15
1704621872,4419600,95.37
1704166121,3027654,129.64
1704281797,1797290,134.92
1704549126,8589093,168.49
1704476676,2447979,124.43
1704167901,9302534,110.29
1704641438,8198457,131.0
1704285209,5732893,162.41
1704596069,4155881,154.22
1704637124,4004047,110.75
1704419621,3001510,137.65
1704628183,3448553,150.8
1704327537,3847999,163.02
1704686345,9759302,101.77
1704158236,1386367,114.64
1704609293,7959537,194.52
1704676047,7678407,172.37
1704191098,8189611,169.29
1704279113,4884793,119.23
1704322316,3171794,133.22
1704138321,2735892,147.78
1704595410,4029030,190.84
1704516776,5080936,133.27
1704451936,4187111,133.78
1704391756,4436899,114.42
